authors,original_title,image_url
Suzanne Collins,the hunger games ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg
J.K. Rowling,harry potter and the order of the phoenix ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SY75_.jpg
Jane Austen,pride and prejudice,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg
Harper Lee,to kill a mockingbird,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg
Markus Zusak,the book thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg
Stephenie Meyer,twilight ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg
George Orwell,animal farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg
J.R.R. Tolkien,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30._SX50_.jpg
C.S. Lewis,the chronicles of narnia ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127._SY75_.jpg
John Green,the fault in our stars,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg
Oscar Wilde,the picture of dorian gray,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg
Margaret Mitchell,gone with the wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg
Shel Silverstein,the giving tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493._SX50_.jpg
Emily Brontë,wuthering heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg
Stephen Chbosky,the perks of being a wallflower,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg
Charlotte Brontë,jane eyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg
J.K. Rowling,harry potter and the sorcerer's stone ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3._SY75_.jpg
F. Scott Fitzgerald,the great gatsby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671._SY75_.jpg
Rick Riordan,the lightning thief ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg
Antoine de Saint-Exupéry,the little prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg
Dan Brown,the da vinci code ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267i/968._SY75_.jpg
Lewis Carroll,alice's adventures in wonderland / through the looking-glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213._SX50_.jpg
Arthur Golden,memoirs of a geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929._SY75_.jpg
Fyodor Dostoevsky,crime and punishment,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg
Veronica Roth,divergent ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037._SY75_.jpg
Victor Hugo,les misérables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280._SY75_.jpg
William Golding,lord of the flies,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg
William Shakespeare,romeo and juliet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg
L.M. Montgomery,anne of green gables ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127._SY75_.jpg
Cassandra Clare,city of bones ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg
Kathryn Stockett,the help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg
Orson Scott Card,ender’s game ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg
Bram Stoker,dracula,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245._SY75_.jpg
E.B. White,charlotte's web,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178._SY75_.jpg
John Steinbeck,of mice and men,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg
Douglas Adams,the hitchhiker's guide to the galaxy ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11._SY75_.jpg
Paulo Coelho,the alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654371463i/18144590._SY75_.jpg
J.D. Salinger,the catcher in the rye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg
Ray Bradbury,fahrenheit 451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg
Aldous Huxley,brave new world,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg
Gabriel García Márquez,one hundred years of solitude,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320._SX50_.jpg
Khaled Hosseini,a thousand splendid suns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg
Audrey Niffenegger,the time traveler's wife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684._SX50_.jpg
William Goldman,the princess bride,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787._SY75_.jpg
Frances Hodgson Burnett,the secret garden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg
George R.R. Martin,a game of thrones ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg
S.E. Hinton,the outsiders,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg
Madeleine L'Engle,a wrinkle in time ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg
Louisa May Alcott,little women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg
George Orwell,1984,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427._SX50_.jpg
Homer,the odyssey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285i/1381._SY75_.jpg
Khaled Hosseini,the kite runner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg
Mary Wollstonecraft Shelley,frankenstein: the 1818 text,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085._SY75_.jpg
J.K. Rowling,harry potter and the deathly hallows ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251._SY75_.jpg
Alice Sebold,the lovely bones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg
Mark Twain,the adventures of huckleberry finn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg
